site1,part/number,site2,document/type,purchase/order/number,indication,supplier,first/qty,purchase/order/quantity,created/date,eta,total/po/qty,total/number/of/po,eta/status,final/po/qty,index/part/number
GREECE,CBC008L,GREECE,Purchase Order,CEO20495-144954b,O,CAP,58,3,23-01-2025,14-02-2025,13,3,3,3,CBC008L3
GREECE,CBC008R,GREECE,Purchase Order,144897,O,Rolling components,23,1,29-11-2024,29-01-2025,7,3,1,6,CBC008R1
GREECE,CBC008R,GREECE,Purchase Order,144924,O,Rolling components,43,5,19-12-2024,29-01-2025,7,3,2,6,CBC008R2
GREECE,CBC008R,GREECE,Purchase Order,144956,O,Rolling components,34,1,23-01-2025,14-02-2025,7,3,3,1,CBC008R3
GREECE,CBC009L,GREECE,Purchase Order,144897,O,Rolling components,7,14,29-11-2024,29-01-2025,87,3,1,58,CBC009L1
GREECE,CBC009L,GREECE,Purchase Order,144924,O,Rolling components,11,44,19-12-2024,29-01-2025,87,3,2,58,CBC009L2
GREECE,CBC009L,GREECE,Purchase Order,144956,O,Rolling components,10,29,23-01-2025,14-02-2025,87,3,3,29,CBC009L3
GREECE,CBC009R,GREECE,Purchase Order,144897,O,Rolling components,6,24,29-11-2024,29-01-2025,130,3,1,94,CBC009R1
GREECE,CBC009R,GREECE,Purchase Order,144924,O,Rolling components,10,70,19-12-2024,29-01-2025,130,3,2,94,CBC009R2
GREECE,CBC009R,GREECE,Purchase Order,144956,O,Rolling components,9,36,23-01-2025,14-02-2025,130,3,3,36,CBC009R3
GREECE,CBC010R,GREECE,Purchase Order,144924,O,Rolling components,21,1,19-12-2024,29-01-2025,1,1,1,1,CBC010R1
GREECE,CBC011L,GREECE,Purchase Order,144924,O,Rolling components,45,9,19-12-2024,29-01-2025,12,2,1,9,CBC011L1
GREECE,CBC011L,GREECE,Purchase Order,CEO20495-144954b,O,CAP,59,3,23-01-2025,14-02-2025,12,2,2,3,CBC011L2
GREECE,CBC011R,GREECE,Purchase Order,144924,O,Rolling components,47,3,19-12-2024,29-01-2025,8,3,1,3,CBC011R1
GREECE,CBC011R,GREECE,Purchase Order,144956,O,Rolling components,37,1,23-01-2025,14-02-2025,8,3,2,5,CBC011R2
GREECE,CBC011R,GREECE,Purchase Order,CEO20495-144954b,O,CAP,60,4,23-01-2025,14-02-2025,8,3,3,5,CBC011R3
GREECE,CBC012L,GREECE,Purchase Order,144924,O,Rolling components,12,12,19-12-2024,29-01-2025,15,2,1,12,CBC012L1
GREECE,CBC012L,GREECE,Purchase Order,144956,O,Rolling components,11,3,23-01-2025,14-02-2025,15,2,2,3,CBC012L2
GREECE,CBC012R,GREECE,Purchase Order,144897,O,Rolling components,8,10,29-11-2024,29-01-2025,57,4,1,32,CBC012R1
GREECE,CBC012R,GREECE,Purchase Order,144924,O,Rolling components,13,22,19-12-2024,29-01-2025,57,4,2,32,CBC012R2
GREECE,CBC012R,GREECE,Purchase Order,CEO20495-144954a,O,CAP,8,23,23-01-2025,14-02-2025,57,4,3,25,CBC012R3
