rec/id,record/id,date,description,document/no,company/name,part/number,item/description,unit/price,qty,availability,backorder,lost/sales,closed/qty,weighed/item,group,qenim,comment,expected/delivery,balance,company/id,third/code,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,branch/id,employee,supplier_x,customer/total/bo/qty,actual/stock,total/number/bo,index/part/number,supplier_y,purchase/order/quantity,eta,total/po/qty,total/number/of/po,final/po/qty,eta/status
904652.0,24,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC133L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΕΜΠΡΟΣΘΙΑ ΑΡΙΣΤΕΡΗ MERCEDES,13.97,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,4.0,1.0,161.0,UR,4.0,0.0,2.0,CBC133L1,Rolling components,2,29-01-2025,4,2,2,1
912650.0,48,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC133L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΕΜΠΡΟΣΘΙΑ ΑΡΙΣΤΕΡΗ MERCEDES,13.97,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,4.0,1.0,161.0,UR,4.0,0.0,2.0,CBC133L1,Rolling components,2,29-01-2025,4,2,2,1
912650.0,60,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC196L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΕΜΠΡΟΣΘΙΑ ΑΡΙΣΤΕΡΗ SKODA,14.08,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,2.0,1.0,161.0,UR,2.0,0.0,1.0,CBC196L1,Rolling components,2,14-02-2025,2,1,2,1
912650.0,49,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC136R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΕΜΠΡΟΣΘΙΑ ΔΕΞΙΑ,20.07,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,8.0,1.0,161.0,UR,1.0,0.0,1.0,CBC136R1,Rolling components,1,29-01-2025,4,2,1,1
912650.0,50,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC139R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΕΜΠΡΟΣΘΙΑ ΔΕΞΙΑ BMW,16.27,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,2.0,1.0,161.0,UR,2.0,0.0,1.0,CBC139R1,CAP,2,14-02-2025,2,1,2,1
912650.0,61,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC196R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΕΜΠΡΟΣΘΙΑ ΔΕΞΙΑ SKODA,14.08,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,2.0,1.0,161.0,UR,2.0,0.0,1.0,CBC196R1,Rolling components,2,14-02-2025,2,1,2,1
912650.0,13,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC026L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ AUDI-SEAT,16.56,55.0,0.0,46.0,0.0,9.0,0.0,55014|9,0.0,,,0.0,IE0109001,,SLOW,0.0,0.0,0.0,46.0,1.0,161.0,UR,46.0,0.0,1.0,CBC026L1,Rolling components,18,29-01-2025,75,3,18,1
906952.0,51,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC309L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ AUDI-SEAT-VW,40.63,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,12.0,1.0,161.0,UR,5.0,0.0,2.0,CBC309L1,Rolling components,2,29-01-2025,8,2,2,1
912653.0,36,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC309L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ AUDI-SEAT-VW,40.63,5.0,0.0,4.0,0.0,1.0,0.0,55015|1,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,12.0,1.0,161.0,UR,5.0,0.0,2.0,CBC309L1,Rolling components,2,29-01-2025,8,2,2,1
912650.0,29,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC054L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ AUDI-SKODA-SEAT-VW,22.18,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,5.0,1.0,161.0,UR,4.0,0.0,2.0,CBC054L1,Rolling components,1,29-01-2025,5,4,3,1
894006.0,5,18-09-2024,NON EUR1 - CALIPER+CVJOINT+STSUP+WBK,192703.0,(GAZ) COMLINE IRELAND LIMITED,CBC054L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ AUDI-SKODA-SEAT-VW,22.18,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,IE0109001,,SPECIAL,0.0,0.0,0.0,5.0,1.0,161.0,UR,4.0,0.0,2.0,CBC054L1,Rolling components,1,29-01-2025,5,4,3,1
