rec/id,date,description,document/no,company/name,part/number,unit/price,qty,backorder,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,customer/total/bo/qty,actual/stock,total/number/bo,index/part/number,purchase/order/quantity,eta,total/po/qty,total/number/of/po,final/po/qty,release,difference,balance/actual/stock,note
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC085R,16.48,3.0,2.0,V-SLOW,0.0,0.0,0.0,6.0,3.0,0.0,2.0,CBC085R1,2.0,29-01-2025,10.0,3.0,5.0,0.0,-3.0,-3.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC087R,11.89,1.0,1.0,SPECIAL,0.0,0.0,0.0,3.0,3.0,0.0,2.0,CBC087R1,1.0,29-01-2025,3.0,2.0,1.0,0.0,0.0,-3.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC087R,11.89,2.0,2.0,SPECIAL,0.0,0.0,0.0,3.0,3.0,0.0,2.0,CBC087R1,1.0,29-01-2025,3.0,2.0,1.0,0.0,0.0,-3.0,done
897939.0,09-10-2024,DIR VIA GREECE - NON EUR1 - BRAKE CALIPER,43164101.0,(GAZ) COMLINE IRELAND LIMITED,CBC058R,17.24,1.0,1.0,SPECIAL,0.0,0.0,0.0,1.0,1.0,0.0,1.0,CBC058R1,1.0,29-01-2025,1.0,1.0,1.0,0.0,0.0,-1.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC007R,14.31,1.0,1.0,MED,0.0,0.0,0.0,10.0,1.0,0.0,1.0,CBC007R1,10.0,29-01-2025,31.0,4.0,20.0,0.0,-9.0,-1.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC023R,15.77,1.0,1.0,SPECIAL,0.0,0.0,0.0,4.0,2.0,0.0,2.0,CBC023R1,1.0,29-01-2025,2.0,2.0,1.0,0.0,-2.0,-2.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC039R,15.71,2.0,1.0,SPECIAL,0.0,0.0,0.0,4.0,1.0,0.0,1.0,CBC039R1,2.0,29-01-2025,4.0,2.0,2.0,0.0,-3.0,-1.0,done
904652.0,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC023R,15.77,2.0,1.0,SPECIAL,0.0,0.0,0.0,4.0,2.0,0.0,2.0,CBC023R1,1.0,29-01-2025,2.0,2.0,1.0,0.0,-2.0,-2.0,done
902081.0,05-11-2024,NON EUR1 CALIPER + CVJOINT + STSUP + WBK,203405.0,(GAZ) COMLINE IRELAND LIMITED,CBC038R,12.6,1.0,1.0,SPECIAL,0.0,0.0,0.0,7.0,1.0,0.0,1.0,CBC038R1,1.0,29-01-2025,7.0,2.0,1.0,0.0,-6.0,-1.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC118R,18.61,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,1.0,CBC118R1,2.0,14-02-2025,2.0,1.0,2.0,0.0,0.0,-2.0,done
904652.0,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC028R,18.57,2.0,2.0,SPECIAL,0.0,0.0,0.0,4.0,2.0,0.0,1.0,CBC028R1,2.0,29-01-2025,2.0,1.0,2.0,0.0,-2.0,-2.0,done
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC051R,19.2,7.0,7.0,SPECIAL,0.0,0.0,0.0,15.0,7.0,0.0,1.0,CBC051R1,7.0,14-02-2025,9.0,2.0,9.0,0.0,-8.0,-7.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC018R,11.62,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,1.0,CBC018R1,2.0,14-02-2025,2.0,1.0,2.0,0.0,0.0,-2.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC026R,16.56,34.0,34.0,SLOW,0.0,0.0,0.0,60.0,46.0,0.0,2.0,CBC026R1,8.0,29-01-2025,77.0,3.0,31.0,0.0,-14.0,-46.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC026R,16.56,17.0,12.0,SLOW,0.0,0.0,0.0,60.0,46.0,0.0,2.0,CBC026R1,8.0,29-01-2025,77.0,3.0,31.0,0.0,-14.0,-46.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC009R,17.32,35.0,18.0,MED,0.0,0.0,0.0,32.0,18.0,0.0,1.0,CBC009R1,24.0,29-01-2025,130.0,3.0,94.0,0.0,-14.0,-18.0,done
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC043R,19.07,3.0,3.0,SLOW,2.0,0.0,2.0,16.0,3.0,0.0,1.0,CBC043R1,11.0,29-01-2025,31.0,4.0,22.0,0.0,-13.0,-3.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC012R,19.72,21.0,19.0,SLOW,1.0,0.0,1.0,35.0,33.0,0.0,2.0,CBC012R1,10.0,29-01-2025,57.0,4.0,32.0,0.0,-2.0,-33.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC012R,19.72,14.0,14.0,SLOW,1.0,0.0,1.0,35.0,33.0,0.0,2.0,CBC012R1,10.0,29-01-2025,57.0,4.0,32.0,0.0,-2.0,-33.0,done
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC025R,17.51,8.0,8.0,V-SLOW,1.0,0.0,1.0,10.0,8.0,0.0,1.0,CBC025R1,2.0,29-01-2025,14.0,4.0,6.0,0.0,-2.0,-8.0,done
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC005R,18.26,8.0,8.0,V-SLOW,1.0,0.0,1.0,13.0,10.0,0.0,2.0,CBC005R1,2.0,29-01-2025,21.0,4.0,9.0,0.0,-3.0,-10.0,done
904652.0,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC005R,18.26,2.0,2.0,V-SLOW,1.0,0.0,1.0,13.0,10.0,0.0,2.0,CBC005R1,2.0,29-01-2025,21.0,4.0,9.0,0.0,-3.0,-10.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC056R,20.4,2.0,2.0,SPECIAL,0.0,0.0,0.0,3.0,2.0,0.0,1.0,CBC056R1,1.0,29-01-2025,3.0,2.0,1.0,0.0,-1.0,-2.0,done
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC057R,17.85,3.0,3.0,SPECIAL,0.0,0.0,0.0,3.0,3.0,0.0,1.0,CBC057R1,3.0,14-02-2025,3.0,1.0,3.0,0.0,0.0,-3.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC053R,21.96,2.0,2.0,SPECIAL,0.0,0.0,0.0,3.0,3.0,0.0,2.0,CBC053R1,1.0,07-03-2025,3.0,2.0,3.0,0.0,0.0,-3.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC031R,21.52,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,1.0,CBC031R1,2.0,14-02-2025,2.0,1.0,2.0,0.0,0.0,-2.0,done
898882.0,15-10-2024,NON EUR1 CALIPER+WBK+STSUP+CVJOINT,199208.0,(GAZ) COMLINE IRELAND LIMITED,CBC053R,21.96,2.0,1.0,SPECIAL,0.0,0.0,0.0,3.0,3.0,0.0,2.0,CBC053R1,1.0,07-03-2025,3.0,2.0,3.0,0.0,0.0,-3.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC003R,16.7,38.0,38.0,SLOW,0.0,0.0,0.0,65.0,45.0,0.0,2.0,CBC003R1,3.0,29-01-2025,81.0,4.0,24.0,0.0,-20.0,-45.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC003R,16.7,13.0,7.0,SLOW,0.0,0.0,0.0,65.0,45.0,0.0,2.0,CBC003R1,3.0,29-01-2025,81.0,4.0,24.0,0.0,-20.0,-45.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC115R,14.0,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,1.0,CBC115R1,2.0,14-02-2025,2.0,1.0,2.0,0.0,0.0,-2.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC074R,17.98,1.0,1.0,SPECIAL,0.0,0.0,0.0,12.0,3.0,0.0,2.0,CBC074R1,3.0,29-01-2025,12.0,2.0,3.0,0.0,-9.0,-3.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC095R,34.1,5.0,5.0,SLOW,0.0,0.0,0.0,72.0,72.0,0.0,3.0,CBC095R1,13.0,29-01-2025,81.0,3.0,20.0,0.0,0.0,-72.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC033R,34.1,11.0,3.0,SLOW,0.0,0.0,0.0,18.0,3.0,0.0,1.0,CBC033R1,24.0,29-01-2025,35.0,2.0,24.0,0.0,-15.0,-3.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC095R,34.1,63.0,59.0,SLOW,0.0,0.0,0.0,72.0,72.0,0.0,3.0,CBC095R1,13.0,29-01-2025,81.0,3.0,20.0,0.0,0.0,-72.0,done
