REC ID,DATE,DESCRIPTION,DOCUMENT NO,COMPANY NAME,PART NUMBER,UNIT PRICE,QTY,PRIORITY CODE,PRSYPAPPSEC,CURRENT STOCK,SALES ORDERS,BACKORDER,CUSTOMER TOTAL BO QTY,SALES-BACK ORDER,ACTUAL STOCK,ETA,FINAL PO QTY,NUMBER OF DAYS ETA,RELEASE,NOTE
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP22214,18.78,1.0,SLOW,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2025-02-07,6.0,5.0,0.0,done
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP3393,6.06,3.0,V-SLOW,0.0,0.0,0.0,3.0,4.0,8.0,0.0,,,,0.0,done
891555.0,03-09-2024,NON EUR1 BRAKE PAD,190306.0,(GAZ) COMLINE IRELAND LIMITED,CBP3393,6.06,1.0,V-SLOW,0.0,0.0,0.0,1.0,4.0,8.0,0.0,,,,0.0,done
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP31298,7.03,3.0,SLOW,0.0,0.0,0.0,3.0,3.0,10.0,0.0,2025-02-07,2.0,5.0,0.0,done
880059.0,18-06-2024,NON EUR1 - BRAKE PAD,175907.0,(GAZ) COMLINE IRELAND LIMITED,CBP32493,12.0,1.0,V-SLOW,0.0,0.0,0.0,1.0,5.0,28.0,0.0,2025-02-26,33.0,24.0,0.0,done
884776.0,16-07-2024,NON EUR1 STSUP+WBK+BRAKE PAD+CVJOINT,181206.0,(GAZ) COMLINE IRELAND LIMITED,CBP32493,12.0,1.0,V-SLOW,0.0,0.0,0.0,1.0,5.0,28.0,0.0,2025-02-26,33.0,24.0,0.0,done
887246.0,30-07-2024,NON EUR1 BRAKE PAD,183809.0,(GAZ) COMLINE IRELAND LIMITED,CBP32493,12.0,3.0,V-SLOW,0.0,0.0,0.0,3.0,5.0,28.0,0.0,2025-02-26,33.0,24.0,0.0,done
884772.0,16-07-2024,EUR1 OIL FILTER+AIR FILTER+CABIN FILTER+FUEL FILTER+BRAKE PAD,181203.0,(GAZ) COMLINE IRELAND LIMITED,CBP06113,18.72,1.0,OBS,0.0,6.0,0.0,1.0,3.0,6.0,6.0,,,,3.0,back/order/qty
887230.0,30-07-2024,EUR1 - BRAKE PAD,183801.0,(GAZ) COMLINE IRELAND LIMITED,CBP06113,18.72,1.0,OBS,0.0,6.0,0.0,1.0,3.0,6.0,6.0,,,,3.0,back/order/qty
876209.0,28-05-2024,EUR1 - BRAKE PAD+FUEL FILTER+OIL FILTER,172003.0,(GAZ) COMLINE IRELAND LIMITED,CBP06113,18.72,1.0,OBS,0.0,6.0,0.0,1.0,3.0,6.0,6.0,,,,3.0,back/order/qty
895003.0,24-09-2024,NON EUR1 BRAKE PAD+BRAKE DISC,194706.0,(GAZ) COMLINE IRELAND LIMITED,CBP0873,9.56,1.0,V-SLOW,0.0,48.0,11.0,1.0,5.0,13.0,37.0,2025-02-25,54.0,23.0,5.0,back/order/qty
900935.0,29-10-2024,NON EUR1 - BRAKE DISC+BRAKE PAD,202307.0,(GAZ) COMLINE IRELAND LIMITED,CBP0873,9.56,1.0,V-SLOW,0.0,48.0,11.0,1.0,5.0,13.0,37.0,2025-02-25,54.0,23.0,5.0,back/order/qty
904661.0,19-11-2024,NON EUR1 BRAKE PAD,206306.0,(GAZ) COMLINE IRELAND LIMITED,CBP0873,9.56,3.0,V-SLOW,0.0,48.0,11.0,3.0,5.0,13.0,37.0,2025-02-25,54.0,23.0,5.0,back/order/qty
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP01117,10.46,1.0,SLOW,0.0,36.0,0.0,1.0,1.0,3.0,36.0,2025-02-17,9.0,15.0,1.0,back/order/qty
902084.0,05-11-2024,NON EUR1 BRAKE PAD,203408.0,(GAZ) COMLINE IRELAND LIMITED,CBP3462,8.82,1.0,V-SLOW,0.0,0.0,0.0,1.0,1.0,12.0,0.0,,,,0.0,done
902084.0,05-11-2024,NON EUR1 BRAKE PAD,203408.0,(GAZ) COMLINE IRELAND LIMITED,CBP32202,13.5,3.0,V-SLOW,0.0,42.0,11.0,3.0,5.0,5.0,31.0,2025-05-06,54.0,93.0,5.0,back/order/qty
900935.0,29-10-2024,NON EUR1 - BRAKE DISC+BRAKE PAD,202307.0,(GAZ) COMLINE IRELAND LIMITED,CBP32202,13.5,1.0,V-SLOW,0.0,42.0,11.0,1.0,5.0,5.0,31.0,2025-05-06,54.0,93.0,5.0,back/order/qty
906507.0,01-12-2024,NON EUR1 BACK ORDER,39123.0,(GAZ) COMLINE IRELAND LIMITED,CBP31520,11.26,1.0,V-SLOW,0.0,0.0,0.0,1.0,1.0,6.0,0.0,2025-02-07,5.0,5.0,0.0,done
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP32202,13.5,1.0,V-SLOW,0.0,42.0,11.0,1.0,5.0,5.0,31.0,2025-05-06,54.0,93.0,5.0,back/order/qty
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP02001,10.06,4.0,SLOW,0.0,48.0,0.0,4.0,4.0,10.0,48.0,2025-03-26,54.0,52.0,4.0,back/order/qty
912646.0,16-01-2025,EUR1 BRAKE PAD,215101.0,(GAZ) COMLINE IRELAND LIMITED,CBP11539,14.73,2.0,OBS,0.0,0.0,0.0,2.0,3.0,3.0,0.0,,,,0.0,done
902083.0,05-11-2024,NON EUR1 BRAKE PAD,203407.0,(GAZ) COMLINE IRELAND LIMITED,CBP01159,8.7,1.0,V-SLOW,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,2025-02-17,27.0,15.0,0.0,done
853546.0,01-04-2024,EUR1 - BRAKE PAD,144701.0,(GAZ) COMLINE IRELAND LIMITED,CBP11539,14.2,2.0,OBS,0.0,0.0,0.0,1.0,3.0,3.0,0.0,,,,0.0,done
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP31304,11.88,2.0,SLOW,0.0,24.0,0.0,2.0,2.0,6.0,24.0,2025-04-15,36.0,72.0,2.0,back/order/qty
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP31513,8.92,3.0,SLOW,0.0,36.0,6.0,3.0,6.0,11.0,30.0,2025-05-06,72.0,93.0,6.0,back/order/qty
900935.0,29-10-2024,NON EUR1 - BRAKE DISC+BRAKE PAD,202307.0,(GAZ) COMLINE IRELAND LIMITED,CBP31513,8.92,3.0,SLOW,0.0,36.0,6.0,3.0,6.0,11.0,30.0,2025-05-06,72.0,93.0,6.0,back/order/qty
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP32008,8.75,1.0,SLOW,0.0,1.0,0.0,1.0,1.0,5.0,1.0,,,,1.0,actual-stock
912668.0,16-01-2025,NON EUR1 BRAKE PAD,215111.0,(GAZ) COMLINE IRELAND LIMITED,CBP0944,8.79,7.0,SLOW,0.0,2.0,0.0,7.0,7.0,12.0,2.0,2025-02-17,54.0,15.0,0.0,release after
882129.0,02-07-2024,NON EUR1 BRAKE PAD,178306.0,(GAZ) COMLINE IRELAND LIMITED,CBP02267,12.76,1.0,V-SLOW,0.0,5.0,3.0,1.0,4.0,9.0,2.0,2025-02-26,10.0,24.0,0.0,release after
887243.0,30-07-2024,NON EUR1 BRAKE PAD,183808.0,(GAZ) COMLINE IRELAND LIMITED,CBP02267,12.76,1.0,V-SLOW,0.0,5.0,3.0,1.0,4.0,9.0,2.0,2025-02-26,10.0,24.0,0.0,release after
890573.0,27-08-2024,NON EUR1 BRAKE PAD,189208.0,(GAZ) COMLINE IRELAND LIMITED,CBP02267,12.76,2.0,V-SLOW,0.0,5.0,3.0,2.0,4.0,9.0,2.0,2025-02-26,10.0,24.0,0.0,release after
