rec/id,record/id,date,description,document/no,company/name,part/number,item/description,unit/price,qty,availability,backorder,lost/sales,closed/qty,weighed/item,group,qenim,comment,expected/delivery,balance,company/id,third/code,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,branch/id,employee,supplier
911871,1,2025/01/10  ,BRAKE PAD,214610,(NEXT) COMLINE IRELAND LIMITED,CBP0797,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. AUDI-SEAT-VW-CITROEN-PEUGEOT,4.75,"1,000.00",0.0,390,0.0,610.0,0,54962|610,0,,,0.0,IE0209001,ADB0797,FAST,"3,501.00","3,240.00",186.0,390.0,1,161,Z
911864,88,2025/01/10  ,BRAKE PAD,214607,(NEXT) COMLINE IRELAND LIMITED,CBP06092,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. BMW,10.1,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB06092,SLOW,46.00,0.00,8.0,3.0,1,161,Z
911864,52,2025/01/10  ,BRAKE PAD,214607,(NEXT) COMLINE IRELAND LIMITED,CBP02318,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. BMW-MINI,7.13,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB02318,SLOW,41.00,0.00,1.0,8.0,1,161,Z
906505,42,2024/12/01  ,BACK ORDER,39121,(NEXT) COMLINE IRELAND LIMITED,CBP02318,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. BMW-MINI,7.13,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB02318,SLOW,41.00,0.00,1.0,8.0,1,161,Z
876856,61,2024/05/31  ,3% - BRAKE PAD,172315,(NEXT) COMLINE IRELAND LIMITED,CBP01100,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. CHRYSLER,9.93,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,ADB01100,OBS,0.00,0.00,0.0,2.0,1,161,CAP
911877,77,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP36065,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. CHRYSLER-DODGE,16.04,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,AEV36065,SPECIAL,0.00,0.00,0.0,1.0,1,161,CAP
911877,40,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP32235,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. CITROEN-PEUGEOT,13.28,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB32235,SLOW,42.00,0.00,9.0,10.0,1,161,Z
896187,33,2024/10/01  ,BRAKE PAD,196107,(NEXT) COMLINE IRELAND LIMITED,CBP32235,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. CITROEN-PEUGEOT,13.28,3.00,0.0,3,0.0,0.0,0,,0,,,0.0,IE0209001,ADB32235,SLOW,42.00,0.00,9.0,10.0,1,161,Z
911864,64,2025/01/10  ,BRAKE PAD,214607,(NEXT) COMLINE IRELAND LIMITED,CBP02453,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. CITROEN-PEUGEOT-OPEL,8.09,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,V-SLOW,7.00,0.00,1.0,1.0,1,161,IBERICA
906528,50,2024/12/02  ,BRAKE PAD,208201,(NEXT) COMLINE IRELAND LIMITED,CBP01630,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. FIAT,8.88,3.00,0.0,3,0.0,0.0,0,,0,,,0.0,IE0209001,ADB01630,V-SLOW,0.00,0.00,0.0,10.0,1,161,A
906528,42,2024/12/02  ,BRAKE PAD,208201,(NEXT) COMLINE IRELAND LIMITED,CBP01557,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. FORD-JAGUAR,9.61,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,ADB01557,V-SLOW,2.00,0.00,0.0,7.0,1,161,A
911877,37,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP32161,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. HYUNDAI-KIA,7.48,6.00,0.0,6,0.0,0.0,0,,0,,,0.0,IE0209001,AEV32161,MED,43.00,0.00,33.0,18.0,1,161,A
906528,47,2024/12/02  ,BRAKE PAD,208201,(NEXT) COMLINE IRELAND LIMITED,CBP01617,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. IVECO,16.08,5.00,0.0,5,0.0,0.0,0,,0,,,0.0,IE0209001,ADB01617,SLOW,2.00,0.00,0.0,38.0,1,161,Z
911863,60,2025/01/10  ,BRAKE PAD,214606,(NEXT) COMLINE IRELAND LIMITED,CBP01617,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. IVECO,16.08,6.00,0.0,6,0.0,0.0,0,,0,,,0.0,IE0209001,ADB01617,SLOW,2.00,0.00,0.0,38.0,1,161,Z
