standardcode,partnumber,customercode,customername,targetdate,status,2023-customer-sales,2024-customer-sales,number-of-customer-target,number-of-part-number-target,sales-after-target,total-sales-after-first-target
CBC568LGAZELA,CBC568L,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC568RGAZELA,CBC568R,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC648LGAZELA,CBC648L,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC648RGAZELA,CBC648R,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC723LGAZELA,CBC723L,GAZELA,GAZELA,,Target Accepted,0,1,1,1,1,
CBC723RGAZELA,CBC723R,GAZELA,GAZELA,,Target Accepted,0,1,1,1,1,
CBC791LGAZELA,CBC791L,GAZELA,GAZELA,,Target Accepted,0,1,1,1,1,
CBC791RGAZELA,CBC791R,GAZELA,GAZELA,,Target Accepted,0,1,1,1,1,
CBC799LGAZELA,CBC799L,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC799RGAZELA,CBC799R,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC800LGAZELA,CBC800L,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC800RGAZELA,CBC800R,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC802LGAZELA,CBC802L,GAZELA,GAZELA,,Target Accepted,0,3,1,1,3,
CBC802RGAZELA,CBC802R,GAZELA,GAZELA,,Target Accepted,0,1,1,1,1,
CBC803LGAZELA,CBC803L,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC803RGAZELA,CBC803R,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
CBC805LGAZELA,CBC805L,GAZELA,GAZELA,,Target Accepted,0,1,1,1,1,
CBC805RGAZELA,CBC805R,GAZELA,GAZELA,,Target Accepted,0,1,1,1,1,
CBC806LGAZELA,CBC806L,GAZELA,GAZELA,,Target Accepted,0,1,1,1,1,
CBC806RGAZELA,CBC806R,GAZELA,GAZELA,,Target Accepted,0,1,1,1,1,
CBC807LGAZELA,CBC807L,GAZELA,GAZELA,,Target Accepted,0,1,1,2,1,
