Rec ID,Record ID,Date,Description,Document No,Company Name,Part Number,Item description,Unit Price,Qty,Availability,BackOrder,Lost Sales,Closed Qty,Weighed Item,Group,qEnim,Comment,Expected delivery,Balance,Company ID,Third code,Priority code,Current Stock,PrsYpApPSec,Sales Orders,Sales-Back Order,Branch ID,Employee,Supplier
912650,10,2025/01/16  ,NON EUR1 CALIPER,215105,(GAZ) COMLINE IRELAND LIMITED,CBC015L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ HONDA,21.25,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,5.00,1,161,UR
897549,26,2024/10/08  ,NON EUR1 CALIPER+WBK,197606,(GAZ) COMLINE IRELAND LIMITED,CBC015L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ HONDA,21.25,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,5.00,1,161,UR
906952,38,2024/12/03  ,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104,(GAZ) COMLINE IRELAND LIMITED,CBC031L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ MINI,21.52,1.00,0.00,1,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,3.00,1,161,UR
906952,35,2024/12/03  ,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104,(GAZ) COMLINE IRELAND LIMITED,CBC003L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ OPEL,16.70,9.00,0.00,9,0.00,0.00,0,,0,,,0.00,IE0109001,,SLOW,1.00,0.00,0.00,67.00,1,161,UR
912650,3,2025/01/16  ,NON EUR1 CALIPER,215105,(GAZ) COMLINE IRELAND LIMITED,CBC003L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ OPEL,16.70,44.00,0.00,39,0.00,5.00,0,55014|5,0,,,0.00,IE0109001,,SLOW,1.00,0.00,0.00,67.00,1,161,UR
904652,22,2024/11/19  ,NON EUR1 CALIPER + WBK + CVJOINT,206304,(GAZ) COMLINE IRELAND LIMITED,CBC120L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ OPEL,17.30,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,11.00,1,161,UR
912653,20,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC120L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ OPEL,17.30,8.00,0.00,7,0.00,1.00,0,55015|1,0,,,0.00,IE0109001,,V-SLOW,0.00,0.00,0.00,11.00,1,161,UR
904652,16,2024/11/19  ,NON EUR1 CALIPER + WBK + CVJOINT,206304,(GAZ) COMLINE IRELAND LIMITED,CBC050L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ PEUGEOT,20.40,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,8.00,1,161,UR
902081,44,2024/11/05  ,NON EUR1 CALIPER + CVJOINT + STSUP + WBK,203405,(GAZ) COMLINE IRELAND LIMITED,CBC050L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ PEUGEOT,20.40,1.00,0.00,1,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,8.00,1,161,UR
900927,49,2024/10/29  ,NON EUR1 - CALIPER+CVJOINT+STSUP+WBK,202305,(GAZ) COMLINE IRELAND LIMITED,CBC467L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΑΡΙΣΤΕΡΗ SEAT-SKODA,19.44,2.00,0.00,1,0.00,1.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,3.00,1,161,UR
